Date;Temp
17/10/2021 07:39;0
17/10/2021 08:39;0
17/10/2021 09:39;0
17/10/2021 10:39;0.2
17/10/2021 11:39;0.2
17/10/2021 12:39;0.3
17/10/2021 13:39;0.3
17/10/2021 14:39;0.3
17/10/2021 15:39;0.3
17/10/2021 16:39;0.4
17/10/2021 17:39;0.3
17/10/2021 18:39;0.3
17/10/2021 19:39;0.2
17/10/2021 20:39;0.2
17/10/2021 21:39;0.1
17/10/2021 22:39;0.1
17/10/2021 23:39;0
18/10/2021 00:39;0
18/10/2021 01:39;-0.1
18/10/2021 02:39;0
18/10/2021 03:39;0
18/10/2021 04:39;0
18/10/2021 05:39;0
18/10/2021 06:39;0
18/10/2021 07:39;-0.3
18/10/2021 08:39;0
18/10/2021 09:39;0
18/10/2021 10:39;0.2
18/10/2021 11:39;0.2
18/10/2021 12:39;0.2
18/10/2021 13:39;0.2
18/10/2021 14:39;0.3
18/10/2021 15:39;0.3
18/10/2021 16:39;0.3
18/10/2021 17:39;0.3
18/10/2021 18:39;0.3
18/10/2021 19:39;0.4
18/10/2021 20:39;0.3
18/10/2021 21:39;0.2
18/10/2021 22:39;0.3
18/10/2021 23:39;0.3
19/10/2021 00:39;0.1
19/10/2021 01:39;0.1
19/10/2021 02:39;0.2
19/10/2021 03:39;0.2
19/10/2021 04:39;0.3
19/10/2021 05:39;0
19/10/2021 06:39;0.2
19/10/2021 07:39;0.2
19/10/2021 08:39;0.2
19/10/2021 09:39;0.3
19/10/2021 10:39;0.3
19/10/2021 11:39;0.4
19/10/2021 12:39;0.4
19/10/2021 13:39;0.4
19/10/2021 14:39;0.4
19/10/2021 15:39;0.4
19/10/2021 16:39;0.4
19/10/2021 17:39;0.4
19/10/2021 18:39;0.4
19/10/2021 19:39;0.4
19/10/2021 20:39;0.4
19/10/2021 21:39;0.4
19/10/2021 22:39;0.4
19/10/2021 23:39;0.4
20/10/2021 00:39;0.4
20/10/2021 01:39;0.4
20/10/2021 02:39;0.3
20/10/2021 03:39;0.4
20/10/2021 04:39;0.3
20/10/2021 05:39;0.2
20/10/2021 06:39;0.2
20/10/2021 07:39;0.2
20/10/2021 08:39;0.2
20/10/2021 09:39;0.2
20/10/2021 10:39;0.2
20/10/2021 11:39;0.2
20/10/2021 12:39;0.3
20/10/2021 13:39;0.4
20/10/2021 14:39;0.4
20/10/2021 15:39;0.4
20/10/2021 16:39;0.4
20/10/2021 17:39;0.4
20/10/2021 18:39;0.4
20/10/2021 19:39;0.4
20/10/2021 20:39;0.4
20/10/2021 21:39;0.4
20/10/2021 22:39;0.4
20/10/2021 23:39;0.4
21/10/2021 00:39;0.3
21/10/2021 01:39;0.3
21/10/2021 02:39;0.4
21/10/2021 03:39;0.4
21/10/2021 04:39;0.3
21/10/2021 05:39;0.2
21/10/2021 06:39;0.2
21/10/2021 07:39;0.2
21/10/2021 08:39;0.2
21/10/2021 09:39;0.2
21/10/2021 10:39;0.1
21/10/2021 11:39;0.1
21/10/2021 12:39;0.3
21/10/2021 13:39;0.2
21/10/2021 14:39;0.2
21/10/2021 15:39;0.2
21/10/2021 16:39;0.2
21/10/2021 17:39;0.1
21/10/2021 18:39;0
21/10/2021 19:39;0
21/10/2021 20:39;-0.1
21/10/2021 21:39;-0.3
21/10/2021 22:39;-0.3
21/10/2021 23:39;-0.3
22/10/2021 00:39;-0.1
22/10/2021 01:39;-0.2
22/10/2021 02:39;-0.1
22/10/2021 03:39;-0.2
22/10/2021 04:39;-0.2
22/10/2021 05:39;-0.4
22/10/2021 06:39;-0.3
22/10/2021 07:39;-0.3
22/10/2021 08:39;-0.4
22/10/2021 09:39;0
22/10/2021 10:39;0
22/10/2021 11:39;0.1
22/10/2021 12:39;0.2
22/10/2021 13:39;0.2
22/10/2021 14:39;0.2
22/10/2021 15:39;0.2
22/10/2021 16:39;0.2
22/10/2021 17:39;0.2
22/10/2021 18:39;0.1
22/10/2021 19:39;0.1
22/10/2021 20:39;0
22/10/2021 21:39;0
22/10/2021 22:39;0
22/10/2021 23:39;0
23/10/2021 00:39;0
23/10/2021 01:39;0
23/10/2021 02:39;-0.1
23/10/2021 03:39;-0.1
23/10/2021 04:39;-0.1
23/10/2021 05:39;0
23/10/2021 06:39;-0.2
23/10/2021 07:39;-0.3
23/10/2021 08:39;-0.1
23/10/2021 09:39;-0.1
23/10/2021 10:39;-0.3
23/10/2021 11:39;-0.1
23/10/2021 12:39;0
23/10/2021 13:39;0
23/10/2021 14:39;0.1
23/10/2021 15:39;0.1
23/10/2021 16:39;0.2
23/10/2021 17:39;0.2
23/10/2021 18:39;0.1
23/10/2021 19:39;0.1
23/10/2021 20:39;0
23/10/2021 21:39;-0.1
23/10/2021 22:39;-0.4
23/10/2021 23:39;-0.5
24/10/2021 00:39;-0.2
24/10/2021 01:39;-0.5
24/10/2021 02:39;-0.4
24/10/2021 03:39;-0.3
24/10/2021 04:39;-0.2
24/10/2021 05:39;-0.4
24/10/2021 06:39;-0.2
24/10/2021 07:39;-0.2
24/10/2021 08:39;-0.6
24/10/2021 09:39;-0.2
24/10/2021 10:39;0
24/10/2021 11:39;0
24/10/2021 12:39;0
24/10/2021 13:39;0
24/10/2021 14:39;0
24/10/2021 15:39;0
24/10/2021 16:39;0
24/10/2021 17:39;0
24/10/2021 18:39;0
24/10/2021 19:39;0
24/10/2021 20:39;-0.2
24/10/2021 21:39;0
24/10/2021 22:39;-0.1
24/10/2021 23:39;-0.4
25/10/2021 00:39;-0.3
25/10/2021 01:39;-0.5
25/10/2021 02:39;-0.6
25/10/2021 03:39;-0.2
25/10/2021 04:39;-0.1
25/10/2021 05:39;-0.1
25/10/2021 06:39;-0.1
25/10/2021 07:39;-0.2
25/10/2021 08:39;-0.1
25/10/2021 09:39;-0.2
25/10/2021 10:39;0
25/10/2021 11:39;0
25/10/2021 12:39;0
25/10/2021 13:39;0.1
25/10/2021 14:39;0.1
25/10/2021 15:39;0.1
25/10/2021 16:39;0.2
25/10/2021 17:39;0.1
25/10/2021 18:39;0.1
25/10/2021 19:39;0
25/10/2021 20:39;0
25/10/2021 21:39;0
25/10/2021 22:39;0
25/10/2021 23:39;0
26/10/2021 00:39;0
26/10/2021 01:39;0
26/10/2021 02:39;0
26/10/2021 03:39;0
26/10/2021 04:39;0
26/10/2021 05:39;0
26/10/2021 06:39;-0.1
26/10/2021 07:39;0
26/10/2021 08:39;-0.2
26/10/2021 09:39;-0.1
26/10/2021 10:39;-0.2
26/10/2021 11:39;0
26/10/2021 12:39;0.1
26/10/2021 13:39;0.2
26/10/2021 14:39;0.2
26/10/2021 15:39;0.2
26/10/2021 16:39;0.1
26/10/2021 17:39;0.1
26/10/2021 18:39;0.1
26/10/2021 19:39;0.1
26/10/2021 20:39;0
26/10/2021 21:39;0.1
26/10/2021 22:39;0
26/10/2021 23:39;-0.6
27/10/2021 00:39;-0.5
27/10/2021 01:39;-0.4
27/10/2021 02:39;-0.7
27/10/2021 03:39;-0.7
